algorithm1,algorithm2,algorithm3,algorithm4,T1(n),T2(n),T3(n),T4(n)
91980,40540,520,35580,8024,1434,1297,155
116500,23440,580,5680,25909,3199,2209,230
408900,68480,900,11700,60044,5664,3194,305
81500,53640,1120,8060,115679,8829,4233,380
86780,10380,880,2780,198064,12694,5317,455
165700,17680,2780,3820,312449,17259,6436,530
187120,15400,1300,3620,464084,22524,7587,605
295800,29360,540,4940,658219,28489,8765,680
372080,24280,420,4120,900104,35154,9966,755
456040,38300,620,4060,1194989,42519,11190,830
472900,30340,460,5120,1548124,50584,12433,905
555300,23860,340,2500,1964759,59349,13694,980
360760,22300,280,2840,2450144,68814,14972,1055
408340,18960,240,2140,3009529,78979,16265,1130
478280,32400,800,3440,3648164,89844,17573,1205
740640,59080,660,6060,4371299,101409,18894,1280
1407240,64780,680,5980,5184184,113674,20229,1355
1072280,28920,280,2920,6092069,126639,21575,1430
927900,38500,380,3340,7100204,140304,22932,1505